subject, practice/real, trial#, target/nontarget, target type, setsize, error, responsetime 
1230373-2, 1, 1, 1, 2, 16, 0, 806 
1230373-2, 1, 2, 1, 1, 16, 0, 539 
1230373-2, 1, 3, 2, 2, 16, 0, 711 
1230373-2, 1, 4, 2, 1, 16, 0, 1212 
1230373-2, 1, 5, 1, 1, 16, 0, 653 
1230373-2, 1, 6, 2, 1, 16, 0, 2807 
1230373-2, 1, 7, 2, 2, 8, 1, 680 
1230373-2, 1, 8, 2, 1, 8, 0, 808 

