subject, practice/real, trial#, target/nontarget, target type, setsize, error, responsetime 
1230394, 2, 67, 2, 2, 8, 0, 528 
1230394, 2, 68, 2, 2, 8, 0, 571 
1230394, 2, 69, 2, 2, 16, 0, 651 
1230394, 2, 70, 2, 1, 16, 1, 612 
1230394, 2, 71, 2, 1, 4, 0, 1129 
1230394, 2, 72, 2, 1, 8, 0, 679 
1230394, 2, 73, 1, 1, 16, 0, 623 
1230394, 2, 74, 1, 2, 16, 0, 695 
1230394, 2, 75, 2, 2, 4, 0, 834 
1230394, 2, 76, 1, 1, 4, 0, 1017 
1230394, 2, 77, 2, 2, 16, 0, 600 
1230394, 2, 78, 2, 2, 4, 0, 551 
1230394, 2, 79, 2, 1, 4, 0, 858 
1230394, 2, 80, 1, 1, 4, 0, 1006 
1230394, 2, 81, 2, 1, 8, 0, 609 
1230394, 2, 82, 1, 1, 16, 0, 538 
1230394, 2, 83, 2, 2, 8, 0, 691 
1230394, 2, 84, 1, 1, 8, 0, 606 
1230394, 2, 85, 2, 2, 4, 0, 640 
1230394, 2, 86, 2, 2, 4, 0, 572 
1230394, 2, 87, 2, 1, 4, 0, 641 
1230394, 2, 88, 1, 2, 8, 1, 569 
1230394, 2, 89, 2, 1, 4, 0, 717 
1230394, 2, 90, 2, 1, 8, 0, 692 
1230394, 2, 91, 1, 2, 4, 0, 804 
1230394, 2, 92, 1, 2, 16, 1, 642 
1230394, 2, 93, 2, 1, 16, 0, 885 
1230394, 2, 94, 2, 2, 16, 0, 567 
1230394, 2, 95, 2, 1, 16, 1, 662 
1230394, 2, 96, 2, 2, 4, 0, 568 
1230394, 2, 97, 1, 1, 16, 0, 680 
1230394, 2, 98, 2, 1, 16, 0, 1177 
1230394, 2, 99, 2, 2, 8, 0, 740 
1230394, 2, 100, 2, 2, 8, 0, 1040 
1230394, 2, 101, 1, 1, 4, 0, 943 
1230394, 2, 102, 1, 2, 16, 0, 534 
1230394, 2, 103, 2, 2, 16, 1, 573 
1230394, 2, 104, 2, 1, 8, 0, 901 
1230394, 2, 105, 2, 1, 4, 0, 616 
1230394, 2, 106, 2, 2, 4, 0, 684 
1230394, 2, 107, 2, 1, 4, 0, 711 
1230394, 2, 108, 1, 2, 4, 0, 664 
1230394, 2, 109, 2, 2, 16, 0, 584 
1230394, 2, 110, 1, 1, 4, 0, 724 
1230394, 2, 111, 1, 1, 16, 0, 1033 
1230394, 2, 112, 1, 2, 4, 0, 552 
1230394, 2, 113, 1, 2, 4, 0, 631 
1230394, 2, 114, 2, 1, 16, 0, 952 
1230394, 2, 115, 1, 2, 16, 0, 692 
1230394, 2, 116, 2, 1, 16, 0, 717 
1230394, 2, 117, 1, 2, 8, 0, 554 
1230394, 2, 118, 2, 2, 4, 0, 649 
1230394, 2, 119, 2, 2, 4, 0, 893 
1230394, 2, 120, 2, 2, 16, 0, 678 
1230394, 2, 121, 1, 2, 16, 0, 508 
1230394, 2, 122, 1, 2, 16, 0, 539 
1230394, 2, 123, 1, 2, 16, 1, 522 
1230394, 2, 124, 2, 1, 4, 0, 729 
1230394, 2, 125, 1, 1, 4, 0, 515 
1230394, 2, 126, 2, 1, 8, 1, 1132 
1230394, 2, 127, 2, 1, 4, 1, 585 
1230394, 2, 128, 2, 2, 8, 0, 796 
1230394, 2, 129, 1, 2, 8, 0, 517 
1230394, 2, 130, 1, 1, 8, 1, 548 
1230394, 2, 131, 2, 1, 8, 0, 827 
1230394, 2, 132, 1, 1, 4, 0, 1113 
1230394, 2, 133, 2, 2, 16, 0, 644 
1230394, 2, 134, 2, 1, 16, 0, 695 
1230394, 2, 135, 1, 2, 4, 0, 587 
