MSG	11324617 TRIAL 3 START
MSG	11327199 DRIFTCORRECT L LEFT  at 960,540  OFFSET 1.03 deg.  10.3,-35.3 pix.
MSG	11327918 RECCFG P 500 2 1 
MSG	11327918 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	11327919 !MODE RECORD P 500 2 1
START	11327920 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
11327920	  528.5	  494.3	  458.0	.
11327922	  527.9	  494.3	  458.0	.
11327924	  527.5	  494.4	  458.0	.
11327926	  527.3	  493.4	  457.0	.
SFIX L   11327928
11327928	  527.2	  493.3	  458.0	.
11327930	  527.7	  493.7	  459.0	.
11327932	  527.7	  494.1	  459.0	.
11327934	  527.5	  494.6	  460.0	.
11327936	  527.9	  494.8	  460.0	.
11327938	  527.0	  493.6	  460.0	.
11327940	  527.1	  494.5	  462.0	.
11327942	  527.1	  495.5	  465.0	.
11327944	  526.8	  498.1	  470.0	.
11327946	  526.5	  498.2	  470.0	.
11327948	  526.2	  498.4	  470.0	.
11327950	  525.9	  497.4	  470.0	.
11327952	  525.3	  496.2	  470.0	.
11327954	  525.0	  496.7	  469.0	.
11327956	  524.8	  496.2	  468.0	.
11327958	  523.5	  495.1	  466.0	.
11327960	  522.2	  493.1	  465.0	.
11327962	  522.6	  491.6	  464.0	.
11327964	  522.1	  492.2	  463.0	.
11327966	  521.7	  491.8	  463.0	.
11327968	  522.1	  492.3	  463.0	.
11327970	  522.1	  492.5	  464.0	.
11327972	  522.2	  491.8	  463.0	.
11327974	  521.6	  492.8	  463.0	.
11327976	  521.0	  492.9	  463.0	.
11327978	  519.9	  492.5	  465.0	.
11327980	  520.6	  492.8	  465.0	.
11327982	  520.7	  494.3	  465.0	.
11327984	  520.3	  493.6	  466.0	.
11327986	  520.3	  492.9	  466.0	.
11327988	  520.3	  492.7	  466.0	.
11327990	  520.4	  493.1	  470.0	.
11327992	  519.7	  493.4	  470.0	.
11327994	  519.1	  493.4	  470.0	.
11327996	  519.0	  493.7	  470.0	.
11327998	  519.1	  493.7	  470.0	.
11328000	  519.0	  493.9	  471.0	.
11328002	  519.1	  494.6	  472.0	.
11328004	  518.9	  495.4	  472.0	.
11328006	  518.7	  496.9	  472.0	.
11328008	  517.7	  496.9	  474.0	.
11328010	  516.7	  496.6	  474.0	.
11328012	  516.0	  495.9	  475.0	.
11328014	  516.1	  495.5	  476.0	.
11328016	  515.7	  495.0	  478.0	.
11328018	  515.4	  495.1	  478.0	.
11328020	  515.5	  494.0	  477.0	.
11328022	  515.6	  493.0	  477.0	.
11328024	  515.1	  491.8	  475.0	.
11328026	  515.0	  491.2	  474.0	.
11328028	  514.8	  491.7	  476.0	.
MSG	11328030 Start Recording with 0
MSG	11328030 SYNCTIME
11328030	  514.5	  492.2	  479.0	.
11328032	  514.5	  492.3	  479.0	.
11328034	  513.6	  491.9	  479.0	.
