MSG	11451414 TRIAL 11 START
MSG	11454615 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.52 deg.  19.7,7.1 pix.
MSG	11455374 RECCFG P 500 2 1 
MSG	11455374 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	11455375 !MODE RECORD P 500 2 1
START	11455376 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
11455638	  558.3	  533.8	  522.0	.
11455640	  558.5	  534.4	  522.0	.
11455642	  560.1	  533.7	  523.0	.
EFIX L   11455520	11455642	124	  593.2	  540.2	    521
SSACC L  11455644
11455644	  565.9	  536.0	  523.0	.
11455646	  566.7	  535.9	  523.0	.
11455648	  575.6	  537.6	  522.0	.
11455650	  589.1	  539.2	  523.0	.
11455652	  615.1	  540.9	  523.0	.
11455654	  636.6	  540.9	  523.0	.
11455656	  665.4	  548.0	  525.0	.
11455658	  687.5	  550.7	  528.0	.
11455660	  719.1	  554.8	  534.0	.
11455662	  744.1	  556.4	  534.0	.
11455664	  768.8	  557.8	  534.0	.
11455666	  794.0	  554.4	  534.0	.
11455668	  816.8	  555.7	  534.0	.
11455670	  840.0	  555.7	  534.0	.
11455672	  859.0	  554.9	  532.0	.
11455674	  883.4	  551.0	  530.0	.
11455676	  896.5	  552.3	  524.0	.
11455678	  914.6	  554.7	  525.0	.
11455680	  925.5	  556.1	  526.0	.
11455682	  941.9	  557.2	  526.0	.
11455684	  954.8	  557.8	  526.0	.
11455686	  967.1	  557.2	  525.0	.
11455688	  975.2	  558.1	  524.0	.
11455690	  981.4	  557.8	  523.0	.
11455692	  982.1	  556.9	  522.0	.
11455694	  982.9	  557.1	  522.0	.
ESACC L  11455644	11455694	52	  565.9	  536.0	  982.1	  556.9	  10.17	    322
SFIX L   11455696
11455696	  983.6	  556.8	  522.0	.
11455698	  983.1	  556.5	  522.0	.
11455700	  982.6	  556.1	  522.0	.
11455702	  981.0	  556.5	  523.0	.
11455704	  979.9	  556.8	  523.0	.
11455706	  978.0	  555.9	  523.0	.
11455708	  978.1	  556.6	  523.0	.
11455710	  978.1	  557.4	  523.0	.
11455712	  978.1	  558.4	  524.0	.
11455714	  978.0	  559.3	  525.0	.
11455716	  976.9	  560.1	  525.0	.
11455718	  975.8	  560.2	  525.0	.
11455720	  976.1	  559.6	  525.0	.
11455722	  976.4	  558.9	  522.0	.
11455724	  976.6	  558.9	  523.0	.
11455726	  976.8	  558.4	  523.0	.
11455728	  976.7	  558.4	  523.0	.
11455730	  976.7	  558.3	  523.0	.
11455732	  976.7	  557.3	  522.0	.
11455734	  976.8	  557.7	  522.0	.
11455736	  976.7	  557.4	  522.0	.
11455738	  976.7	  557.4	  523.0	.
11455740	  977.2	  557.5	  524.0	.
11455742	  976.5	  557.2	  524.0	.
11455744	  975.9	  556.8	  522.0	.
11455746	  975.7	  557.2	  521.0	.
11455748	  975.4	  556.7	  518.0	.
11455750	  974.9	  556.1	  518.0	.
11455752	  975.6	  557.0	  518.0	.
11455754	  974.8	  557.0	  518.0	.
11455756	  974.5	  557.2	  519.0	.
11455758	  974.5	  557.9	  520.0	.
11455760	  974.4	  557.7	  525.0	.
11455762	  974.5	  557.8	  526.0	.
11455764	  974.7	  557.0	  526.0	.
11455766	  974.6	  556.3	  524.0	.
11455768	  974.5	  555.9	  523.0	.
11455770	  974.5	  555.8	  523.0	.
11455772	  974.6	  555.7	  520.0	.
11455774	  974.8	  555.8	  517.0	.
11455776	  975.0	  556.4	  512.0	.
11455778	  975.1	  557.1	  512.0	.
11455780	  974.9	  556.6	  512.0	.
11455782	  974.8	  557.4	  513.0	.
11455784	  974.9	  556.9	  513.0	.
11455786	  975.1	  557.4	  513.0	.
11455788	  975.9	  557.6	  513.0	.
11455790	  975.9	  557.8	  513.0	.
11455792	  975.5	  557.4	  512.0	.
11455794	  975.9	  557.2	  510.0	.
11455796	  976.1	  557.4	  510.0	.
11455798	  976.0	  556.6	  510.0	.
11455800	  976.1	  558.5	  510.0	.
11455802	  975.9	  559.2	  509.0	.
11455804	  975.7	  559.1	  508.0	.
11455806	  975.6	  560.4	  506.0	.
11455808	  975.5	  560.7	  506.0	.
11455810	  975.1	  560.5	  503.0	.
11455812	  975.0	  562.0	  503.0	.
11455814	  974.9	  561.7	  503.0	.
11455816	  975.6	  561.5	  502.0	.
11455818	  975.5	  561.5	  503.0	.
11455820	  975.5	  561.5	  501.0	.
11455822	  975.5	  561.3	  500.0	.
11455824	  975.5	  561.0	  501.0	.
11455826	  975.2	  561.1	  500.0	.
11455828	  975.5	  560.4	  500.0	.
11455830	  975.1	  560.3	  498.0	.
11455832	  975.2	  560.2	  498.0	.
11455834	  975.0	  560.2	  497.0	.
11455836	  975.2	  561.1	  497.0	.
11455838	  974.9	  562.0	  496.0	.
11455840	  976.0	  561.4	  495.0	.
11455842	  976.0	  562.6	  493.0	.
11455844	  976.0	  561.4	  492.0	.
11455846	  976.4	  562.2	  490.0	.
11455848	  976.5	  561.4	  490.0	.
11455850	  976.3	  560.7	  490.0	.
11455852	  976.7	  560.8	  487.0	.
11455854	  977.1	  561.0	  484.0	.
11455856	  977.4	  561.8	  485.0	.
11455858	  977.6	  562.0	  485.0	.
11455860	  977.7	  562.0	  486.0	.
11455862	  977.6	  562.1	  487.0	.
11455864	  977.6	  562.1	  487.0	.
11455866	  979.1	  566.0	  487.0	.
11455868	  979.2	  566.4	  487.0	.
11455870	  978.9	  566.9	  487.0	.
11455872	  979.8	  567.7	  486.0	.
11455874	  979.9	  568.5	  483.0	.
11455876	  979.9	  568.8	  475.0	.
11455878	  979.8	  569.2	  474.0	.
11455880	  980.0	  569.9	  474.0	.
11455882	  978.9	  569.1	  471.0	.
11455884	  979.5	  568.5	  467.0	.
11455886	  979.9	  569.0	  467.0	.
11455888	  979.9	  569.4	  467.0	.
11455890	  979.9	  570.8	  466.0	.
11455892	  981.4	  572.2	  466.0	.
11455894	  981.4	  573.0	  463.0	.
11455896	  981.3	  573.2	  463.0	.
11455898	  981.0	  573.4	  460.0	.
11455900	  980.4	  573.9	  460.0	.
11455902	  980.4	  574.4	  460.0	.
11455904	  980.6	  573.6	  460.0	.
11455906	  980.6	  573.8	  459.0	.
11455908	  979.8	  573.9	  458.0	.
11455910	  980.1	  573.7	  456.0	.
11455912	  980.1	  574.9	  455.0	.
11455914	  980.3	  575.4	  454.0	.
11455916	  980.5	  576.0	  453.0	.
11455918	  980.4	  577.2	  452.0	.
11455920	  980.8	  578.5	  452.0	.
11455922	  981.1	  579.1	  451.0	.
11455924	  980.7	  579.1	  451.0	.
11455926	  980.7	  579.0	  449.0	.
11455928	  980.2	  579.3	  448.0	.
11455930	  979.6	  579.5	  448.0	.
11455932	  978.6	  579.2	  448.0	.
11455934	  978.5	  580.1	  447.0	.
11455936	  979.2	  580.3	  446.0	.
11455938	  979.7	  580.0	  444.0	.
11455940	  979.6	  580.3	  444.0	.
11455942	  979.5	  580.7	  444.0	.
11455944	  979.3	  580.8	  443.0	.
11455946	  979.1	  581.0	  443.0	.
11455948	  977.2	  582.9	  443.0	.
11455950	  977.9	  582.4	  443.0	.
11455952	  977.7	  582.7	  443.0	.
11455954	  978.2	  582.3	  444.0	.
11455956	  978.9	  583.1	  446.0	.
11455958	  978.1	  583.7	  446.0	.
11455960	  978.0	  582.6	  445.0	.
11455962	  978.1	  582.1	  445.0	.
11455964	  977.2	  581.9	  444.0	.
11455966	  976.2	  581.6	  444.0	.
11455968	  976.5	  582.1	  444.0	.
11455970	  976.5	  581.4	  444.0	.
11455972	  977.4	  582.1	  437.0	.
11455974	  978.4	  582.0	  437.0	.
11455976	  978.7	  581.8	  434.0	.
11455978	  978.2	  581.8	  434.0	.
11455980	  977.8	  582.2	  435.0	.
11455982	  977.8	  581.5	  434.0	.
11455984	  977.9	  581.6	  434.0	.
11455986	  979.1	  581.8	  433.0	.
11455988	  978.7	  581.7	  433.0	.
11455990	  979.4	  581.7	  429.0	.
11455992	  979.7	  581.2	  429.0	.
11455994	  980.0	  580.8	  429.0	.
