MSG	11423856 TRIAL 9 START
MSG	11427234 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.57 deg.  4.9,19.7 pix.
MSG	11427993 RECCFG P 500 2 1 
MSG	11427993 GAZE_COORDS 0.00 0.00 1919.00 1079.00
START	11427994 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
MSG	11427994 !MODE RECORD P 500 2 1
11427994	  606.8	  470.6	  465.0	.
11427996	  606.5	  471.2	  465.0	.
11427998	  606.2	  472.4	  465.0	.
11428000	  606.0	  472.4	  464.0	.
SFIX L   11428002
11428002	  605.9	  471.8	  465.0	.
11428004	  605.8	  471.4	  466.0	.
11428006	  605.8	  471.9	  466.0	.
11428008	  605.9	  471.7	  466.0	.
11428010	  605.7	  471.2	  466.0	.
11428012	  605.6	  470.9	  466.0	.
11428014	  605.6	  471.0	  466.0	.
11428016	  605.4	  471.2	  466.0	.
11428018	  605.6	  471.7	  466.0	.
11428020	  605.7	  471.2	  465.0	.
11428022	  605.8	  470.6	  465.0	.
11428024	  606.0	  470.3	  465.0	.
11428026	  606.2	  470.2	  465.0	.
11428028	  606.2	  470.1	  465.0	.
11428030	  606.3	  467.2	  468.0	.
11428032	  608.7	  467.8	  473.0	.
EFIX L   11428002	11428032	32	  605.9	  470.9	    465
SSACC L  11428034
11428034	  610.8	  468.3	  473.0	.
11428036	  611.8	  467.3	  473.0	.
11428038	  621.5	  469.7	  473.0	.
11428040	  638.7	  474.2	  473.0	.
11428042	  656.6	  478.7	  474.0	.
11428044	  679.0	  484.2	  475.0	.
11428046	  707.9	  489.3	  477.0	.
11428048	  731.9	  495.0	  477.0	.
11428050	  757.8	  501.2	  477.0	.
11428052	  786.9	  503.1	  477.0	.
11428054	  803.5	  504.9	  476.0	.
11428056	  829.3	  507.9	  475.0	.
11428058	  842.9	  506.1	  474.0	.
11428060	  865.4	  505.3	  474.0	.
11428062	  883.8	  504.0	  474.0	.
11428064	  896.9	  503.0	  473.0	.
11428066	  913.2	  504.4	  473.0	.
11428068	  927.1	  505.7	  471.0	.
11428070	  937.2	  506.7	  470.0	.
11428072	  943.4	  506.4	  470.0	.
11428074	  947.9	  507.5	  470.0	.
11428076	  947.8	  507.8	  471.0	.
ESACC L  11428034	11428076	44	  610.8	  468.3	  947.9	  507.5	   8.37	    323
SFIX L   11428078
11428078	  947.7	  508.4	  472.0	.
11428080	  947.4	  508.1	  472.0	.
11428082	  946.5	  507.8	  472.0	.
11428084	  944.6	  507.0	  472.0	.
11428086	  942.7	  506.6	  472.0	.
11428088	  942.3	  506.4	  472.0	.
11428090	  941.9	  506.7	  472.0	.
11428092	  941.7	  507.0	  472.0	.
11428094	  941.4	  507.4	  472.0	.
11428096	  941.0	  507.3	  472.0	.
11428098	  941.2	  507.4	  473.0	.
11428100	  941.4	  507.7	  473.0	.
11428102	  941.1	  507.2	  472.0	.
