MSG	11436071 TRIAL 10 START
MSG	11438186 DRIFTCORRECT L REPEATING due to large error
MSG	11441394 DRIFTCORRECT L LEFT  at 960,540  OFFSET 1.25 deg.  20.9,-40.0 pix.
MSG	11442152 RECCFG P 500 2 1 
MSG	11442152 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	11442153 !MODE RECORD P 500 2 1
START	11442154 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
ESACC L  11442602	11442624	24	 1046.1	  610.0	  961.9	  584.0	   2.20	    157
SFIX L   11442626
11442626	  961.1	  576.5	  510.0	.
11442628	  961.9	  576.6	  509.0	.
11442630	  962.6	  576.1	  510.0	.
11442632	  963.4	  576.3	  510.0	.
11442634	  964.1	  576.3	  510.0	.
11442636	  965.0	  577.5	  510.0	.
11442638	  964.5	  578.5	  510.0	.
11442640	  964.8	  579.5	  510.0	.
11442642	  964.2	  580.5	  510.0	.
11442644	  963.7	  580.6	  510.0	.
11442646	  963.0	  579.1	  510.0	.
11442648	  962.7	  579.5	  510.0	.
11442650	  962.3	  580.0	  509.0	.
11442652	  962.2	  578.0	  509.0	.
11442654	  961.9	  579.3	  503.0	.
11442656	  962.1	  580.6	  502.0	.
11442658	  961.4	  579.2	  502.0	.
11442660	  961.6	  581.6	  500.0	.
11442662	  961.0	  583.9	  500.0	.
11442664	  960.4	  584.0	  500.0	.
11442666	  961.5	  584.5	  494.0	.
11442668	  961.0	  584.6	  493.0	.
11442670	  960.6	  583.3	  493.0	.
11442672	  960.1	  583.4	  491.0	.
11442674	  960.4	  583.7	  491.0	.
11442676	  960.2	  585.3	  492.0	.
11442678	  960.0	  586.7	  492.0	.
11442680	  959.8	  588.0	  493.0	.
11442682	  959.5	  589.1	  491.0	.
11442684	  959.4	  589.2	  490.0	.
11442686	  959.3	  589.3	  490.0	.
11442688	  959.3	  588.7	  487.0	.
11442690	  959.3	  588.2	  484.0	.
11442692	  959.1	  587.0	  482.0	.
11442694	  959.3	  586.6	  482.0	.
11442696	  959.5	  586.3	  482.0	.
11442698	  959.2	  586.3	  479.0	.
11442700	  959.5	  588.2	  477.0	.
11442702	  958.9	  590.1	  475.0	.
11442704	  959.6	  589.3	  474.0	.
11442706	  959.9	  589.4	  473.0	.
11442708	  960.2	  589.5	  472.0	.
11442710	  959.5	  588.1	  470.0	.
11442712	  958.8	  587.5	  470.0	.
11442714	  958.4	  587.5	  469.0	.
11442716	  958.4	  587.6	  468.0	.
11442718	  958.3	  587.7	  468.0	.
11442720	  958.2	  588.0	  467.0	.
11442722	  958.3	  588.1	  467.0	.
11442724	  958.5	  588.1	  461.0	.
11442726	  958.5	  588.9	  459.0	.
11442728	  958.5	  589.6	  458.0	.
11442730	  959.7	  590.7	  457.0	.
11442732	  959.8	  591.7	  456.0	.
11442734	  959.5	  595.0	  456.0	.
11442736	  959.2	  593.0	  455.0	.
11442738	  959.3	  593.5	  454.0	.
11442740	  959.1	  593.8	  454.0	.
11442742	  959.6	  595.1	  454.0	.
11442744	  959.3	  595.4	  453.0	.
11442746	  959.3	  595.5	  453.0	.
11442748	  959.2	  595.5	  451.0	.
11442750	  959.4	  595.5	  450.0	.
11442752	  959.5	  597.4	  450.0	.
11442754	  959.4	  596.6	  450.0	.
11442756	  959.4	  596.4	  447.0	.
11442758	  959.8	  596.7	  447.0	.
11442760	  959.7	  595.9	  447.0	.
11442762	  959.5	  595.9	  447.0	.
11442764	  959.9	  596.2	  447.0	.
11442766	  959.4	  595.4	  447.0	.
11442768	  959.2	  594.7	  446.0	.
11442770	  959.1	  596.4	  445.0	.
11442772	  959.3	  595.2	  444.0	.
11442774	  959.3	  596.2	  440.0	.
11442776	  959.4	  597.2	  443.0	.
11442778	  959.3	  597.9	  445.0	.
11442780	  959.3	  597.5	  443.0	.
11442782	  960.5	  598.3	  443.0	.
11442784	  961.9	  599.1	  443.0	.
11442786	  962.3	  597.7	  442.0	.
11442788	  962.8	  599.0	  441.0	.
11442790	  962.4	  600.1	  441.0	.
11442792	  962.4	  600.4	  439.0	.
11442794	  962.2	  599.0	  438.0	.
11442796	  962.9	  598.4	  434.0	.
11442798	  963.5	  598.3	  433.0	.
11442800	  962.7	  597.9	  432.0	.
11442802	  963.2	  597.0	  431.0	.
11442804	  963.9	  597.9	  430.0	.
11442806	  963.8	  597.2	  429.0	.
11442808	  963.5	  597.0	  428.0	.
11442810	  963.0	  597.2	  427.0	.
11442812	  962.1	  595.9	  427.0	.
11442814	  961.6	  596.3	  427.0	.
11442816	  961.2	  596.7	  427.0	.
11442818	  960.8	  596.3	  426.0	.
11442820	  960.6	  595.8	  425.0	.
11442822	  958.8	  595.4	  424.0	.
11442824	  958.5	  595.9	  424.0	.
11442826	  958.6	  595.5	  424.0	.
11442828	  958.6	  594.9	  424.0	.
11442830	  958.6	  595.7	  423.0	.
11442832	  958.6	  595.1	  423.0	.
11442834	  958.6	  594.6	  423.0	.
11442836	  958.5	  594.6	  422.0	.
11442838	  958.2	  594.6	  422.0	.
11442840	  958.6	  595.0	  422.0	.
11442842	  958.5	  595.5	  419.0	.
11442844	  958.4	  595.9	  418.0	.
11442846	  958.2	  595.9	  418.0	.
11442848	  958.0	  596.3	  418.0	.
11442850	  958.1	  596.0	  417.0	.
11442852	  958.2	  595.7	  417.0	.
11442854	  957.4	  597.2	  417.0	.
11442856	  957.6	  596.8	  418.0	.
11442858	  957.2	  596.4	  418.0	.
11442860	  957.2	  596.5	  417.0	.
11442862	  957.4	  596.4	  416.0	.
11442864	  957.6	  596.2	  416.0	.
11442866	  957.4	  597.0	  416.0	.
11442868	  957.5	  597.0	  416.0	.
11442870	  957.6	  597.1	  416.0	.
11442872	  957.8	  598.0	  415.0	.
11442874	  958.0	  597.2	  415.0	.
11442876	  958.2	  596.3	  415.0	.
11442878	  958.4	  597.7	  415.0	.
11442880	  958.8	  598.1	  416.0	.
11442882	  959.3	  598.1	  416.0	.
11442884	  959.0	  598.9	  416.0	.
11442886	  958.7	  598.7	  416.0	.
11442888	  958.7	  598.5	  415.0	.
