MSG	11436071 TRIAL 10 START
MSG	11438186 DRIFTCORRECT L REPEATING due to large error
MSG	11441394 DRIFTCORRECT L LEFT  at 960,540  OFFSET 1.25 deg.  20.9,-40.0 pix.
MSG	11442152 RECCFG P 500 2 1 
MSG	11442152 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	11442153 !MODE RECORD P 500 2 1
START	11442154 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
11442400	 1059.8	  608.2	  574.0	.
11442402	 1060.0	  608.2	  573.0	.
11442404	 1059.5	  608.2	  573.0	.
11442406	 1059.0	  607.7	  573.0	.
11442408	 1058.7	  607.7	  572.0	.
11442410	 1058.7	  607.4	  572.0	.
11442412	 1058.7	  607.3	  571.0	.
11442414	 1058.8	  608.1	  571.0	.
11442416	 1058.8	  608.3	  571.0	.
11442418	 1059.0	  608.2	  571.0	.
11442420	 1059.1	  609.3	  571.0	.
11442422	 1058.9	  610.2	  571.0	.
11442424	 1058.7	  612.4	  570.0	.
11442426	 1058.1	  612.3	  571.0	.
11442428	 1058.4	  612.0	  571.0	.
11442430	 1058.4	  611.6	  571.0	.
11442432	 1058.4	  611.7	  571.0	.
11442434	 1058.2	  611.6	  572.0	.
11442436	 1058.1	  611.7	  572.0	.
11442438	 1058.2	  611.3	  570.0	.
11442440	 1058.3	  611.8	  571.0	.
11442442	 1058.2	  612.1	  572.0	.
11442444	 1058.6	  613.2	  571.0	.
11442446	 1057.8	  611.5	  571.0	.
11442448	 1057.8	  611.6	  571.0	.
11442450	 1057.7	  611.6	  570.0	.
11442452	 1057.2	  611.9	  570.0	.
11442454	 1057.1	  611.1	  569.0	.
11442456	 1057.2	  611.0	  570.0	.
11442458	 1057.6	  610.9	  569.0	.
11442460	 1057.3	  610.0	  568.0	.
11442462	 1057.6	  609.1	  568.0	.
11442464	 1058.0	  608.6	  568.0	.
11442466	 1058.3	  607.9	  568.0	.
11442468	 1058.0	  607.7	  566.0	.
11442470	 1057.9	  607.6	  566.0	.
11442472	 1057.8	  607.6	  566.0	.
11442474	 1057.9	  608.4	  566.0	.
11442476	 1057.9	  607.8	  566.0	.
11442478	 1057.9	  607.3	  563.0	.
11442480	 1057.7	  607.9	  565.0	.
11442482	 1057.5	  608.6	  568.0	.
11442484	 1056.4	  608.8	  571.0	.
11442486	 1055.6	  608.8	  573.0	.
11442488	 1055.6	  608.9	  575.0	.
11442490	 1055.3	  609.3	  575.0	.
11442492	 1055.6	  609.1	  575.0	.
11442494	 1055.8	  608.9	  570.0	.
11442496	 1054.7	  607.9	  570.0	.
11442498	 1054.1	  607.1	  570.0	.
11442500	 1053.6	  606.8	  569.0	.
11442502	 1054.4	  607.7	  568.0	.
11442504	 1054.3	  607.9	  567.0	.
11442506	 1054.5	  608.2	  566.0	.
11442508	 1053.8	  608.0	  566.0	.
11442510	 1053.0	  607.8	  565.0	.
11442512	 1053.3	  609.1	  565.0	.
11442514	 1053.6	  609.2	  565.0	.
11442516	 1053.0	  609.7	  564.0	.
11442518	 1053.5	  609.8	  563.0	.
11442520	 1053.1	  610.4	  563.0	.
11442522	 1053.3	  610.6	  563.0	.
11442524	 1053.5	  610.3	  563.0	.
11442526	 1052.4	  609.9	  562.0	.
11442528	 1051.2	  609.0	  562.0	.
11442530	 1050.4	  609.9	  561.0	.
11442532	 1050.3	  609.5	  560.0	.
11442534	 1050.3	  609.5	  560.0	.
11442536	 1050.3	  609.5	  559.0	.
11442538	 1050.5	  609.6	  559.0	.
11442540	 1050.5	  608.3	  558.0	.
11442542	 1050.4	  608.3	  558.0	.
11442544	 1051.6	  608.4	  554.0	.
11442546	 1050.9	  607.8	  553.0	.
11442548	 1050.8	  609.5	  554.0	.
11442550	 1050.7	  611.2	  554.0	.
11442552	 1050.2	  610.9	  554.0	.
11442554	 1049.7	  610.7	  554.0	.
11442556	 1049.4	  610.1	  553.0	.
11442558	 1049.4	  610.8	  552.0	.
11442560	 1048.8	  609.8	  552.0	.
11442562	 1048.7	  610.7	  552.0	.
11442564	 1048.6	  611.4	  551.0	.
11442566	 1048.6	  610.6	  551.0	.
11442568	 1048.1	  610.8	  551.0	.
11442570	 1048.4	  611.3	  550.0	.
11442572	 1048.2	  611.6	  549.0	.
11442574	 1048.0	  612.1	  549.0	.
11442576	 1047.8	  613.7	  549.0	.
11442578	 1047.8	  614.6	  547.0	.
11442580	 1046.7	  613.2	  546.0	.
11442582	 1046.4	  612.2	  546.0	.
11442584	 1046.4	  612.5	  546.0	.
11442586	 1046.2	  613.1	  546.0	.
11442588	 1046.0	  612.3	  546.0	.
11442590	 1046.2	  612.4	  546.0	.
11442592	 1046.4	  612.3	  546.0	.
11442594	 1045.8	  610.8	  546.0	.
11442596	 1046.6	  610.7	  539.0	.
11442598	 1046.8	  610.8	  538.0	.
11442600	 1046.8	  609.7	  537.0	.
EFIX L   11442334	11442600	268	 1056.9	  609.4	    564
SSACC L  11442602
11442602	 1046.1	  610.0	  533.0	.
11442604	 1045.5	  609.5	  529.0	.
11442606	 1039.1	  608.3	  529.0	.
11442608	 1033.1	  606.2	  529.0	.
11442610	 1017.4	  603.6	  529.0	.
11442612	 1009.5	  602.4	  529.0	.
11442614	  990.0	  599.8	  528.0	.
11442616	  975.8	  594.4	  527.0	.
11442618	  968.8	  590.3	  527.0	.
11442620	  964.1	  586.9	  522.0	.
11442622	  961.9	  584.0	  518.0	.
11442624	  961.5	  576.4	  510.0	.
