MSG	11392430 TRIAL 7 START
MSG	11395106 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.37 deg.  2.8,12.8 pix.
MSG	11395866 RECCFG P 500 2 1 
MSG	11395866 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	11395867 !MODE RECORD P 500 2 1
START	11395868 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
11395868	  647.2	  481.6	  523.0	.
11395870	  647.3	  481.2	  521.0	.
11395872	  647.4	  481.8	  521.0	.
11395874	  647.5	  481.8	  522.0	.
SFIX L   11395876
11395876	  647.7	  482.4	  522.0	.
11395878	  647.5	  482.4	  522.0	.
11395880	  648.2	  482.6	  522.0	.
11395882	  647.9	  482.4	  523.0	.
11395884	  648.2	  482.8	  525.0	.
11395886	  648.5	  482.2	  528.0	.
11395888	  648.7	  482.4	  530.0	.
11395890	  648.8	  482.4	  530.0	.
11395892	  649.2	  482.7	  530.0	.
11395894	  649.0	  482.6	  530.0	.
11395896	  648.9	  482.7	  530.0	.
11395898	  647.3	  481.4	  530.0	.
11395900	  647.4	  481.4	  528.0	.
11395902	  647.3	  481.8	  527.0	.
11395904	  647.3	  481.1	  527.0	.
11395906	  647.5	  480.4	  525.0	.
11395908	  647.8	  480.3	  523.0	.
11395910	  647.7	  480.1	  523.0	.
11395912	  647.8	  479.7	  523.0	.
11395914	  647.7	  480.7	  523.0	.
11395916	  647.8	  480.6	  522.0	.
11395918	  647.9	  480.6	  522.0	.
11395920	  648.0	  480.2	  523.0	.
11395922	  647.9	  480.1	  523.0	.
11395924	  648.4	  480.3	  522.0	.
11395926	  648.4	  480.4	  522.0	.
11395928	  648.6	  480.6	  522.0	.
11395930	  648.5	  479.9	  521.0	.
11395932	  648.1	  480.0	  521.0	.
11395934	  648.6	  480.5	  521.0	.
11395936	  648.7	  480.2	  521.0	.
11395938	  648.8	  480.2	  520.0	.
11395940	  649.4	  480.5	  520.0	.
11395942	  649.4	  480.7	  519.0	.
11395944	  649.6	  481.1	  521.0	.
11395946	  650.0	  481.5	  522.0	.
11395948	  650.2	  480.8	  522.0	.
11395950	  650.1	  480.9	  522.0	.
11395952	  650.1	  481.2	  524.0	.
11395954	  650.0	  480.6	  523.0	.
11395956	  650.1	  480.8	  523.0	.
11395958	  650.0	  480.9	  524.0	.
11395960	  650.0	  480.3	  523.0	.
11395962	  649.9	  479.8	  523.0	.
11395964	  649.8	  480.0	  523.0	.
11395966	  649.6	  479.0	  522.0	.
11395968	  650.0	  479.2	  524.0	.
11395970	  649.6	  479.3	  524.0	.
11395972	  649.5	  479.3	  524.0	.
11395974	  649.5	  479.4	  525.0	.
11395976	  649.4	  480.3	  525.0	.
MSG	11395977 Start Recording with 0
MSG	11395977 SYNCTIME
11395978	  649.5	  481.2	  526.0	.
11395980	  649.6	  481.6	  527.0	.
11395982	  650.3	  482.2	  528.0	.
