MSG	11474422 TRIAL 13 START
MSG	11476656 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.29 deg.  7.9,7.4 pix.
MSG	11477422 RECCFG P 500 2 1 
MSG	11477422 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	11477423 !MODE RECORD P 500 2 1
START	11477424 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
11477424	 1778.0	  695.6	  604.0	.
11477426	 1777.8	  695.3	  603.0	.
11477428	 1777.3	  696.7	  605.0	.
11477430	 1777.5	  698.1	  606.0	.
SFIX L   11477432
11477432	 1777.4	  697.5	  606.0	.
11477434	 1777.0	  697.5	  607.0	.
11477436	 1777.2	  697.7	  608.0	.
11477438	 1777.5	  697.7	  608.0	.
11477440	 1777.8	  696.7	  602.0	.
11477442	 1777.8	  695.5	  602.0	.
11477444	 1777.6	  695.2	  602.0	.
11477446	 1777.3	  694.8	  602.0	.
11477448	 1776.9	  695.9	  602.0	.
11477450	 1777.3	  697.0	  602.0	.
11477452	 1777.4	  698.1	  602.0	.
11477454	 1777.3	  697.5	  602.0	.
11477456	 1777.1	  697.8	  601.0	.
11477458	 1777.0	  697.7	  599.0	.
11477460	 1775.4	  697.6	  599.0	.
11477462	 1775.2	  697.7	  601.0	.
11477464	 1774.9	  696.9	  601.0	.
11477466	 1774.4	  696.6	  601.0	.
11477468	 1774.1	  696.5	  602.0	.
11477470	 1774.0	  699.3	  602.0	.
EFIX L   11477432	11477470	40	 1776.6	  697.0	    603
SSACC L  11477472
11477472	 1768.7	  700.1	  602.0	.
11477474	 1764.0	  700.9	  602.0	.
11477476	 1748.2	  699.9	  603.0	.
11477478	 1722.1	  698.3	  603.0	.
11477480	 1687.4	  694.6	  604.0	.
11477482	 1648.1	  690.6	  605.0	.
11477484	 1598.0	  683.4	  607.0	.
11477486	 1556.9	  678.6	  608.0	.
11477488	 1507.8	  672.6	  609.0	.
11477490	 1457.3	  663.5	  611.0	.
11477492	 1408.5	  656.0	  611.0	.
11477494	 1362.2	  648.6	  610.0	.
11477496	 1318.9	  635.2	  605.0	.
11477498	 1270.2	  621.4	  601.0	.
11477500	 1224.9	  613.1	  597.0	.
11477502	 1180.6	  604.8	  594.0	.
11477504	 1143.5	  599.9	  591.0	.
11477506	 1105.6	  595.0	  589.0	.
11477508	 1070.3	  584.7	  585.0	.
11477510	 1043.5	  580.3	  582.0	.
11477512	 1007.6	  574.8	  582.0	.
11477514	  980.4	  558.2	  577.0	.
11477516	  956.8	  554.9	  575.0	.
11477518	  933.2	  552.7	  574.0	.
11477520	  912.4	  550.7	  575.0	.
11477522	  896.8	  548.0	  576.0	.
11477524	  886.3	  547.0	  579.0	.
11477526	  880.7	  546.5	  581.0	.
11477528	  881.2	  546.0	  584.0	.
11477530	  881.5	  545.5	  583.0	.
