MSG	11292231 TRIAL 1 START
MSG	11297478 DRIFTCORRECT L REPEATING due to large error
MSG	11301479 DRIFTCORRECT L LEFT  at 960,540  OFFSET 12.94 deg.  64.7,-464.5 pix.
MSG	11302236 RECCFG P 500 2 1 
MSG	11302236 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	11302237 !MODE RECORD P 500 2 1
START	11302238 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
11302238	  961.7	  513.0	  523.0	.
11302240	  960.7	  513.0	  523.0	.
11302242	  960.0	  510.7	  523.0	.
11302244	  959.7	  512.2	  524.0	.
SFIX L   11302246
11302246	  959.8	  511.3	  523.0	.
11302248	  961.6	  510.7	  523.0	.
11302250	  962.1	  511.8	  526.0	.
11302252	  962.0	  512.8	  529.0	.
11302254	  961.9	  514.8	  530.0	.
11302256	  961.8	  515.0	  532.0	.
11302258	  961.9	  515.2	  534.0	.
11302260	  962.0	  515.5	  533.0	.
11302262	  961.5	  515.6	  532.0	.
11302264	  960.9	  515.6	  532.0	.
11302266	  961.1	  516.3	  532.0	.
11302268	  960.7	  516.5	  528.0	.
11302270	  960.4	  516.5	  528.0	.
11302272	  960.8	  516.6	  528.0	.
11302274	  961.2	  516.9	  528.0	.
11302276	  961.4	  516.0	  528.0	.
11302278	  961.3	  516.8	  527.0	.
11302280	  961.6	  516.2	  526.0	.
11302282	  961.3	  515.5	  525.0	.
11302284	  960.8	  516.1	  525.0	.
11302286	  960.1	  515.6	  525.0	.
11302288	  959.8	  515.0	  526.0	.
11302290	  959.8	  513.4	  526.0	.
11302292	  959.8	  513.0	  524.0	.
11302294	  959.8	  512.6	  523.0	.
11302296	  959.8	  513.1	  524.0	.
11302298	  960.0	  511.4	  522.0	.
11302300	  960.1	  511.2	  522.0	.
11302302	  959.9	  510.9	  522.0	.
11302304	  960.3	  511.0	  523.0	.
11302306	  960.2	  511.1	  523.0	.
11302308	  961.0	  510.1	  523.0	.
11302310	  960.6	  508.8	  523.0	.
11302312	  960.9	  508.2	  522.0	.
11302314	  961.3	  507.5	  522.0	.
11302316	  961.2	  507.5	  521.0	.
11302318	  962.1	  508.3	  523.0	.
11302320	  962.1	  506.1	  520.0	.
11302322	  962.0	  505.1	  521.0	.
11302324	  962.7	  504.3	  522.0	.
11302326	  963.4	  504.7	  523.0	.
11302328	  963.2	  505.0	  523.0	.
11302330	  963.1	  506.1	  524.0	.
11302332	  962.5	  506.8	  523.0	.
11302334	  962.0	  507.4	  523.0	.
11302336	  961.2	  508.4	  523.0	.
11302338	  961.1	  508.2	  523.0	.
11302340	  961.0	  508.0	  523.0	.
11302342	  960.6	  508.4	  524.0	.
11302344	  960.2	  507.9	  524.0	.
11302346	  959.9	  509.0	  524.0	.
MSG	11302347 Start Recording with 0
MSG	11302347 SYNCTIME
11302348	  959.7	  509.3	  525.0	.
