MSG	11517868 TRIAL 16 START
MSG	11526976 DRIFTCORRECT L LEFT  at 960,540  OFFSET 1.01 deg.  32.5,-21.3 pix.
MSG	11527736 RECCFG P 500 2 1 
MSG	11527736 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	11527737 !MODE RECORD P 500 2 1
START	11527738 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
11527988	 1004.2	  541.8	  545.0	.
11527990	 1004.1	  541.8	  545.0	.
11527992	 1003.1	  541.6	  545.0	.
11527994	 1003.1	  541.7	  544.0	.
11527996	 1003.4	  541.5	  545.0	.
11527998	 1003.6	  541.1	  545.0	.
11528000	 1003.8	  541.8	  547.0	.
11528002	 1003.7	  542.7	  547.0	.
11528004	 1003.6	  542.8	  549.0	.
11528006	 1003.5	  543.2	  550.0	.
11528008	 1004.0	  545.1	  551.0	.
11528010	 1004.5	  547.3	  552.0	.
11528012	 1004.2	  546.5	  551.0	.
11528014	 1004.2	  546.5	  551.0	.
11528016	 1004.2	  546.4	  550.0	.
11528018	 1003.6	  545.8	  550.0	.
11528020	 1003.2	  545.6	  546.0	.
11528022	 1002.5	  545.6	  544.0	.
11528024	 1002.3	  544.8	  544.0	.
11528026	 1002.2	  544.1	  544.0	.
11528028	 1001.7	  543.2	  543.0	.
11528030	 1001.7	  542.9	  542.0	.
11528032	 1001.2	  540.9	  542.0	.
11528034	 1001.0	  541.0	  542.0	.
11528036	 1000.2	  539.6	  542.0	.
11528038	 1000.0	  539.3	  542.0	.
11528040	  999.9	  539.0	  541.0	.
11528042	 1001.3	  539.9	  542.0	.
11528044	 1001.3	  540.7	  544.0	.
11528046	 1001.3	  541.7	  544.0	.
11528048	  999.7	  542.7	  544.0	.
11528050	  996.0	  544.6	  545.0	.
11528052	  995.1	  548.0	  547.0	.
11528054	  993.9	  548.5	  549.0	.
11528056	  992.0	  549.0	  549.0	.
11528058	  985.6	  549.5	  548.0	.
11528060	  985.0	  550.1	  548.0	.
11528062	  984.6	  549.9	  548.0	.
11528064	  984.6	  550.1	  548.0	.
