MSG	11337276 TRIAL 4 START
MSG	11339563 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.82 deg.  -3.0,28.9 pix.
MSG	11340319 RECCFG P 500 2 1 
MSG	11340319 GAZE_COORDS 0.00 0.00 1919.00 1079.00
START	11340320 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
MSG	11340320 !MODE RECORD P 500 2 1
11340320	  668.1	  489.0	  469.0	.
11340322	  668.7	  489.3	  469.0	.
11340324	  668.5	  488.7	  469.0	.
11340326	  668.1	  488.5	  470.0	.
SFIX L   11340328
11340328	  667.5	  488.3	  471.0	.
11340330	  667.6	  488.3	  473.0	.
11340332	  667.8	  488.4	  473.0	.
11340334	  668.6	  487.6	  474.0	.
11340336	  668.6	  488.2	  474.0	.
11340338	  668.5	  487.8	  472.0	.
11340340	  668.4	  487.7	  471.0	.
11340342	  668.3	  487.6	  471.0	.
11340344	  668.0	  486.1	  471.0	.
11340346	  667.6	  485.8	  470.0	.
11340348	  666.9	  485.2	  470.0	.
11340350	  666.4	  485.5	  470.0	.
11340352	  667.1	  485.6	  472.0	.
11340354	  666.9	  485.6	  475.0	.
11340356	  666.8	  485.9	  477.0	.
11340358	  667.4	  486.6	  478.0	.
11340360	  668.2	  488.0	  478.0	.
11340362	  667.8	  489.6	  479.0	.
11340364	  667.7	  488.8	  478.0	.
11340366	  667.8	  488.1	  477.0	.
11340368	  667.3	  487.1	  477.0	.
11340370	  666.8	  486.7	  477.0	.
11340372	  666.3	  487.1	  477.0	.
11340374	  666.2	  486.8	  477.0	.
11340376	  665.7	  486.6	  477.0	.
11340378	  665.5	  486.7	  477.0	.
11340380	  665.6	  486.9	  473.0	.
11340382	  665.7	  487.1	  473.0	.
11340384	  665.2	  486.9	  473.0	.
11340386	  665.2	  487.5	  473.0	.
11340388	  665.3	  487.7	  474.0	.
11340390	  664.3	  487.7	  478.0	.
11340392	  664.7	  487.6	  479.0	.
11340394	  665.0	  487.6	  479.0	.
11340396	  664.6	  487.1	  477.0	.
11340398	  664.6	  487.3	  476.0	.
11340400	  664.3	  486.8	  476.0	.
11340402	  663.8	  487.5	  476.0	.
11340404	  664.0	  488.3	  476.0	.
11340406	  663.2	  488.3	  480.0	.
11340408	  662.4	  488.2	  480.0	.
11340410	  662.7	  488.5	  480.0	.
11340412	  662.9	  490.0	  480.0	.
11340414	  663.3	  490.0	  481.0	.
11340416	  663.5	  490.7	  481.0	.
11340418	  663.5	  490.8	  482.0	.
11340420	  663.6	  490.6	  482.0	.
11340422	  663.5	  490.5	  482.0	.
11340424	  663.5	  490.2	  482.0	.
11340426	  663.8	  491.3	  482.0	.
11340428	  663.9	  491.7	  482.0	.
MSG	11340430 Start Recording with 0
MSG	11340430 SYNCTIME
11340430	  663.5	  492.1	  482.0	.
11340432	  663.3	  492.3	  482.0	.
11340434	  662.8	  492.6	  482.0	.
