11467576,1,0,1707.1,669.3,585.0
11467578,1,0,1706.6,669.7,585.0
11467580,1,0,1706.9,669.3,585.0
11467582,1,0,1707.3,669.5,584.0
11467584,1,0,1707.2,668.8,584.0
11467586,1,0,1707.2,668.1,584.0
11467588,1,0,1707.6,668.0,583.0
11467590,1,0,1707.8,668.0,583.0
11467592,1,0,1707.8,667.9,581.0
11467594,1,0,1707.7,667.4,581.0
11467596,1,0,1707.6,666.9,581.0
11467598,1,0,1707.4,666.8,581.0
11467600,1,0,1707.1,666.8,583.0
11467602,1,0,1706.1,666.7,586.0
11467604,1,0,1706.5,667.1,586.0
11467606,1,0,1705.5,666.4,586.0
11467608,1,0,1705.6,667.0,586.0
11467610,1,0,1705.7,667.6,586.0
11467612,1,0,1706.4,667.7,586.0
11467614,1,0,1706.7,667.7,585.0
11467616,1,0,1706.9,667.9,584.0
11467618,1,0,1706.2,668.0,582.0
11467620,1,0,1706.7,668.0,582.0
11467622,1,0,1706.8,668.0,582.0
11467624,1,0,1706.8,667.4,582.0
11467626,1,0,1706.8,666.7,582.0
11467628,1,0,1706.7,666.6,582.0
11467630,1,0,1707.0,666.6,583.0
11467632,1,0,1706.8,664.9,584.0
11467634,1,0,1706.8,665.3,584.0
11467636,1,0,1707.1,665.6,583.0
11467638,1,0,1708.6,667.3,583.0
11467640,1,0,1708.7,667.3,582.0
11467642,1,0,1708.9,667.5,582.0
11467644,1,0,1709.4,668.2,582.0
11467646,1,0,1709.6,669.1,582.0
11467648,1,0,1709.6,670.0,582.0
11467650,1,0,1709.8,670.3,581.0
11467652,1,0,1709.5,670.2,581.0
11467654,1,0,1709.3,670.1,581.0
11467656,1,0,1708.6,670.1,581.0
11467658,1,0,1708.1,669.1,581.0
11467660,1,0,1707.4,669.0,580.0
11467662,1,0,1707.4,669.1,581.0
11467664,1,0,1707.7,668.6,581.0
11467666,1,0,1707.8,668.9,582.0
11467668,1,0,1707.6,669.0,584.0
11467670,1,0,1707.3,667.4,584.0
11467672,1,0,1707.3,666.9,582.0
11467674,1,0,1707.3,667.2,579.0
11467676,1,0,1707.4,667.4,579.0
11467678,1,0,1707.4,667.9,579.0
11467680,1,0,1707.4,667.9,579.0
11467682,1,0,1705.5,668.9,578.0
11467684,1,0,1703.2,666.6,579.0
11467686,1,0,1702.6,666.4,579.0
11467688,1,0,1686.4,665.2,579.0
11467690,1,0,1667.4,660.6,578.0
11467692,1,0,1645.3,658.2,578.0
11467694,1,0,1608.1,654.7,578.0
11467696,1,0,1572.4,650.0,581.0
11467698,1,0,1532.4,643.6,584.0
11467700,1,0,1484.6,636.4,589.0
11467702,1,1,1447.6,630.1,589.0
11467704,1,1,1404.1,624.1,589.0
11467706,1,1,1357.3,617.5,589.0
