MSG	11362753 TRIAL 6 START
MSG	11383190 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.25 deg.  7.6,-6.1 pix.
MSG	11383909 RECCFG P 500 2 1 
MSG	11383909 GAZE_COORDS 0.00 0.00 1919.00 1079.00
START	11383910 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
MSG	11383910 !MODE RECORD P 500 2 1
11383910	   .	   .	    0.0	.
11383912	   .	   .	    0.0	I
11383914	   .	   .	    0.0	.
11383916	   .	   .	    0.0	I
11383918	   .	   .	    0.0	.
11383920	   .	   .	    0.0	I
11383922	   .	   .	    0.0	.
11383924	  768.8	  829.2	  199.0	I
11383926	  768.8	  829.2	  199.0	.
11383928	  768.8	  829.2	  199.0	I
11383930	  768.8	  829.2	  199.0	.
11383932	  768.9	  829.2	  199.0	.
11383934	  763.3	  820.4	  205.0	I
11383936	  757.8	  811.7	  211.0	.
11383938	  743.1	  794.8	  229.0	.
11383940	  741.1	  781.1	  234.0	.
11383942	  734.3	  767.4	  254.0	.
11383944	  733.8	  734.9	  271.0	.
11383946	  730.4	  732.8	  291.0	.
11383948	  728.4	  719.8	  313.0	.
11383950	  726.9	  700.6	  317.0	.
11383952	  726.1	  697.4	  322.0	.
11383954	  725.7	  690.7	  335.0	.
11383956	  727.5	  661.5	  359.0	.
11383958	  728.3	  655.0	  361.0	.
11383960	  728.4	  649.5	  373.0	.
11383962	  729.6	  629.8	  391.0	.
11383964	  729.5	  619.7	  399.0	.
11383966	  729.9	  612.2	  409.0	.
11383968	  730.6	  599.9	  436.0	.
11383970	  729.8	  590.5	  454.0	.
11383972	  729.0	  579.2	  458.0	.
SFIX L   11383974
11383974	  728.9	  577.1	  458.0	.
11383976	  728.7	  577.1	  462.0	.
11383978	  728.7	  577.1	  474.0	.
11383980	  729.2	  569.3	  487.0	.
11383982	  730.8	  561.9	  487.0	.
11383984	  733.0	  556.5	  487.0	.
11383986	  733.8	  554.0	  487.0	.
11383988	  734.2	  553.9	  489.0	.
11383990	  734.5	  553.9	  490.0	.
11383992	  734.8	  552.3	  491.0	.
11383994	  734.8	  553.7	  492.0	.
11383996	  734.6	  554.3	  492.0	.
11383998	  734.6	  554.9	  493.0	.
11384000	  734.9	  557.2	  493.0	.
11384002	  734.6	  559.3	  493.0	.
11384004	  734.4	  559.3	  493.0	.
11384006	  734.9	  559.5	  493.0	.
11384008	  734.5	  559.5	  494.0	.
11384010	  734.0	  559.5	  494.0	.
11384012	  734.0	  561.8	  494.0	.
11384014	  734.1	  562.6	  494.0	.
11384016	  735.7	  563.8	  494.0	.
11384018	  736.2	  564.4	  494.0	.
MSG	11384019 Start Recording with 0
MSG	11384019 SYNCTIME
11384020	  736.0	  565.5	  494.0	.
11384022	  736.9	  566.9	  495.0	.
11384024	  737.5	  572.0	  493.0	.
11384026	  737.3	  574.0	  492.0	.
