g04_08.asc,1,1,1,11302846,11302852,8,969.9,508.9,971.4,495.6,0.37,69
g04_08.asc,1,1,1,11302986,11303020,36,978.9,493.6,1185.6,525.3,5.13,237
g04_08.asc,1,1,1,11303218,11303248,32,1170.4,525.8,988.0,562.0,4.57,244
g04_08.asc,1,1,1,11303574,11303632,60,963.2,530.2,873.5,456.9,2.99,128
g04_08.asc,1,1,1,11303814,11303976,164,988.9,500.7,950.2,439.7,1.94,280
g04_08.asc,1,1,1,11304298,11304312,16,961.8,489.1,1008.3,499.0,1.17,117
g04_08.asc,1,1,1,11304546,11304600,56,987.5,514.8,761.0,499.3,5.53,165
g04_08.asc,1,1,1,11304922,11304956,36,756.0,495.7,939.5,504.6,4.48,227
g04_08.asc,1,1,1,11305262,11305280,20,934.7,504.8,987.5,512.7,1.31,115
g04_08.asc,1,2,1,11305502,11305528,28,981.1,512.8,1004.2,410.3,2.90,169
g04_08.asc,1,2,1,11305654,11305732,80,992.4,422.6,1545.7,588.0,13.99,352
g04_08.asc,1,2,1,11306190,11306256,68,1552.4,582.4,451.6,628.4,25.51,647
g04_08.asc,1,2,1,11306586,11306600,16,436.3,605.1,432.9,567.9,1.00,107
g04_08.asc,1,2,1,11306854,11306924,72,437.2,557.1,1624.2,568.9,27.32,619
g04_08.asc,1,2,1,11307298,11307312,16,1589.2,549.9,1572.8,516.8,0.97,84
g04_08.asc,1,2,1,11307782,11307844,64,1557.8,526.0,522.3,582.1,24.27,628
g04_08.asc,1,2,1,11308022,11308036,16,480.6,558.9,442.4,550.2,0.91,98
g04_08.asc,2,1,1,11315890,11315940,52,1627.8,602.8,858.3,615.6,18.30,578
g04_08.asc,2,1,1,11316342,11316372,32,875.1,607.1,1038.7,598.4,4.04,227
g04_08.asc,2,1,1,11316686,11316700,16,1028.5,589.4,982.8,577.8,1.18,108
g04_08.asc,2,1,1,11316946,11316996,52,972.8,566.9,598.8,484.4,9.42,289
g04_08.asc,2,1,1,11317210,11317256,48,587.2,464.4,1007.7,573.6,10.71,368
g04_08.asc,2,1,1,11317454,11317484,32,977.6,562.4,863.5,522.3,3.05,144
g04_08.asc,2,1,1,11318154,11318172,20,934.0,533.2,1013.7,528.1,1.98,163
g04_08.asc,2,1,1,11318334,11318344,12,1005.1,536.0,984.9,541.5,0.52,65
g04_08.asc,2,2,1,11318982,11319020,40,971.6,547.5,625.2,536.4,8.50,330
g04_08.asc,2,2,1,11319130,11319164,36,627.4,532.5,446.4,579.4,4.51,208
g04_08.asc,2,2,1,11319574,11319644,72,452.9,576.8,1547.2,590.4,25.69,573
g04_08.asc,2,2,1,11319898,11319912,16,1541.0,591.2,1578.2,593.3,0.87,78
g04_08.asc,2,2,1,11320586,11320656,72,1581.0,511.9,493.1,533.0,25.57,605
g04_08.asc,2,2,1,11321110,11321164,56,455.2,539.1,1023.7,483.6,13.82,374
g04_08.asc,2,2,1,11321402,11321452,52,1035.7,483.3,1564.9,579.4,13.00,373
g04_08.asc,2,2,1,11321874,11321888,16,1543.3,553.1,1540.3,527.2,0.72,86
g04_08.asc,2,2,1,11322422,11322492,72,1542.0,512.2,429.2,543.5,26.11,602
g04_08.asc,2,2,1,11323098,11323108,12,436.0,532.6,457.6,549.2,0.68,85
g04_08.asc,3,1,1,11328168,11328214,48,514.0,503.6,973.0,558.5,11.25,396
g04_08.asc,3,1,1,11328656,11328702,48,968.5,576.3,540.8,522.7,10.51,345
g04_08.asc,3,1,1,11328868,11328914,48,541.8,518.5,1001.0,615.9,11.51,390
g04_08.asc,3,1,1,11329084,11329090,8,972.4,608.9,959.6,604.7,0.34,69
g04_08.asc,3,1,1,11329356,11329406,52,959.8,594.0,537.5,520.9,10.51,329
g04_08.asc,3,1,1,11329684,11329726,44,532.1,512.9,933.4,570.7,9.92,381
g04_08.asc,3,1,1,11330316,11330338,24,929.7,570.8,995.1,579.0,1.64,124
g04_08.asc,3,1,1,11330520,11330526,8,978.1,578.7,965.1,577.3,0.33,56
g04_08.asc,3,1,1,11330780,11330798,20,957.4,579.3,1000.7,586.5,1.09,113
g04_08.asc,3,2,1,11331248,11331282,36,982.9,585.6,831.1,598.6,3.78,191
g04_08.asc,3,2,1,11331376,11331414,40,815.7,595.4,474.1,622.5,8.30,324
g04_08.asc,3,2,1,11331568,11331574,8,452.2,620.3,439.2,616.4,0.32,74
g04_08.asc,3,2,1,11331868,11331938,72,434.5,608.1,1585.0,624.1,26.85,571
g04_08.asc,3,2,1,11332780,11332798,20,1568.0,588.9,1602.0,632.2,1.42,121
g04_08.asc,3,2,1,11333148,11333222,76,1583.0,647.1,401.3,622.3,27.49,607
g04_08.asc,3,2,1,11333364,11333378,16,400.5,614.1,439.1,621.9,0.93,95
g04_08.asc,3,2,1,11334356,11334362,8,438.7,598.8,446.4,610.9,0.38,76
g04_08.asc,3,2,1,11334644,11334766,124,442.9,625.4,1569.4,556.7,26.42,478
g04_08.asc,3,2,1,11335420,11335434,16,1544.7,584.4,1581.1,607.1,1.05,90
g04_08.asc,3,2,1,11335980,11336054,76,1572.1,618.3,460.7,624.3,26.03,588
g04_08.asc,4,1,1,11340572,11340610,40,658.0,494.2,988.1,532.9,8.21,365
g04_08.asc,4,1,1,11341256,11341266,12,963.7,566.4,932.7,563.9,0.77,97
g04_08.asc,4,1,1,11341448,11341462,16,945.3,568.6,976.1,566.8,0.77,69
g04_08.asc,4,1,1,11341972,11342018,48,964.4,560.0,587.1,494.4,9.44,290
g04_08.asc,4,1,1,11342224,11342266,44,573.7,481.4,952.3,577.7,9.67,372
