MSG	11548948 TRIAL 18 START
MSG	11550848 DRIFTCORRECT L LEFT  at 960,540  OFFSET 0.83 deg.  -32.2,-7.0 pix.
MSG	11551606 RECCFG P 500 2 1 
MSG	11551606 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	11551607 !MODE RECORD P 500 2 1
START	11551608 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RATE	 500.00	TRACKING	P	FILTER	2
11551870	  966.8	  547.0	  503.0	.
11551872	  967.3	  546.4	  502.0	.
11551874	  966.9	  545.7	  502.0	.
11551876	  967.7	  546.3	  502.0	.
11551878	  968.4	  546.8	  501.0	.
11551880	  968.1	  546.3	  501.0	.
11551882	  967.7	  545.7	  500.0	.
11551884	  967.7	  546.3	  501.0	.
11551886	  967.5	  546.0	  502.0	.
11551888	  967.6	  546.4	  502.0	.
11551890	  967.5	  546.0	  503.0	.
11551892	  967.1	  545.8	  503.0	.
11551894	  967.3	  546.2	  503.0	.
11551896	  967.3	  545.8	  502.0	.
11551898	  967.1	  545.3	  502.0	.
11551900	  966.8	  545.4	  502.0	.
11551902	  967.2	  545.5	  502.0	.
11551904	  967.7	  545.0	  502.0	.
11551906	  967.7	  545.1	  501.0	.
11551908	  967.7	  545.2	  501.0	.
11551910	  967.6	  544.6	  501.0	.
11551912	  967.5	  544.4	  501.0	.
11551914	  967.3	  544.2	  501.0	.
11551916	  967.2	  544.1	  500.0	.
11551918	  966.9	  544.1	  500.0	.
11551920	  967.3	  544.1	  500.0	.
11551922	  967.7	  544.1	  500.0	.
11551924	  967.9	  544.2	  499.0	.
11551926	  968.0	  544.1	  500.0	.
11551928	  967.5	  544.2	  501.0	.
11551930	  967.4	  544.6	  501.0	.
11551932	  967.5	  545.6	  502.0	.
11551934	  967.5	  546.6	  503.0	.
11551936	  967.4	  545.8	  504.0	.
11551938	  967.3	  545.4	  504.0	.
11551940	  966.9	  545.3	  504.0	.
11551942	  966.5	  545.1	  504.0	.
11551944	  965.3	  545.2	  503.0	.
11551946	  965.3	  545.2	  503.0	.
11551948	  965.3	  545.0	  503.0	.
11551950	  965.4	  545.1	  503.0	.
11551952	  966.1	  545.3	  503.0	.
11551954	  966.4	  545.7	  504.0	.
11551956	  966.0	  546.3	  504.0	.
11551958	  966.2	  546.8	  505.0	.
11551960	  966.2	  547.1	  506.0	.
11551962	  966.6	  547.3	  506.0	.
11551964	  966.6	  547.7	  506.0	.
11551966	  966.4	  546.8	  506.0	.
11551968	  966.3	  546.0	  505.0	.
11551970	  966.2	  545.7	  505.0	.
11551972	  967.0	  545.6	  504.0	.
11551974	  967.0	  545.7	  504.0	.
11551976	  967.0	  545.6	  504.0	.
11551978	  967.2	  545.8	  504.0	.
11551980	  967.4	  546.1	  504.0	.
11551982	  967.7	  546.2	  503.0	.
11551984	  968.0	  546.1	  503.0	.
11551986	  968.7	  547.0	  503.0	.
11551988	  969.0	  546.9	  503.0	.
11551990	  969.0	  546.7	  503.0	.
11551992	  968.8	  546.8	  502.0	.
11551994	  968.7	  546.5	  502.0	.
11551996	  968.7	  546.3	  501.0	.
11551998	  968.3	  546.1	  501.0	.
11552000	  968.7	  546.1	  501.0	.
11552002	  968.5	  545.9	  501.0	.
11552004	  968.4	  545.6	  500.0	.
11552006	  968.2	  546.0	  500.0	.
11552008	  968.2	  545.9	  500.0	.
11552010	  968.4	  545.8	  500.0	.
11552012	  968.2	  545.8	  500.0	.
11552014	  968.1	  545.9	  500.0	.
11552016	  968.3	  546.5	  500.0	.
11552018	  967.7	  547.6	  500.0	.
11552020	  967.3	  547.0	  499.0	.
11552022	  967.3	  547.5	  499.0	.
11552024	  967.3	  548.0	  497.0	.
11552026	  967.3	  548.2	  497.0	.
11552028	  967.9	  548.1	  497.0	.
11552030	  968.1	  548.8	  497.0	.
11552032	  968.4	  548.8	  497.0	.
11552034	  968.4	  548.9	  497.0	.
